detail,error_severity,event_message,hint,id,identifier,timestamp
null,LOG,"connection authenticated: identity=""pgbouncer"" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)",null,bc23d0b7-e9cd-40e0-a6fa-9e17b98c4e6c,dqrooqgnsvbgarsudhew,1776015108039000
null,LOG,"connection authenticated: identity=""pgbouncer"" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)",null,94c31200-5234-421a-9179-7408a22070c5,dqrooqgnsvbgarsudhew,1776015107989000
null,LOG,connection authorized: user=pgbouncer database=postgres application_name=Supavisor auth_query,null,0724cca6-6250-401f-bd3b-430139e5878d,dqrooqgnsvbgarsudhew,1776015107989000
null,LOG,"connection authenticated: identity=""pgbouncer"" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)",null,2c732f2e-8bbf-4869-88da-c7888d74f975,dqrooqgnsvbgarsudhew,1776015107835000
null,LOG,connection authorized: user=pgbouncer database=postgres application_name=Supavisor auth_query,null,ced9f3d7-680d-40b3-9797-e88b9e32b8a9,dqrooqgnsvbgarsudhew,1776015107835000
null,LOG,connection authorized: user=pgbouncer database=postgres application_name=Supavisor auth_query,null,56fbe14c-50c5-4049-ae1f-4c8e95363c2b,dqrooqgnsvbgarsudhew,1776015107729000
null,LOG,"connection authenticated: identity=""pgbouncer"" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)",null,6de5836e-e838-42cb-8c7c-b83a766188e5,dqrooqgnsvbgarsudhew,1776015107729000
null,LOG,connection authorized: user=pgbouncer database=postgres application_name=Supavisor auth_query,null,7f1a6dd1-45d0-4192-9416-6c744d6dbc6e,dqrooqgnsvbgarsudhew,1776015107606000
null,LOG,"connection authenticated: identity=""pgbouncer"" method=scram-sha-256 (/etc/postgresql/pg_hba.conf:94)",null,0bf64a16-9b0d-402d-85b4-3c51810f9676,dqrooqgnsvbgarsudhew,1776015107606000
null,LOG,connection received: host=2a05:d014:1c06:5f01:cd37:18bc:1fad:845e port=44798,null,272722a3-71f9-463e-8410-2cda4e5d15bf,dqrooqgnsvbgarsudhew,1776015107595000
