deployment_id,event_message,execution_id,execution_time_ms,function_id,id,method,pathname,status_code,timestamp,version
dqrooqgnsvbgarsudhew_0751d2fd-7a7a-480b-9d27-f44a212a5be5_2,POST | 401 | https://dqrooqgnsvbgarsudhew.supabase.co/functions/v1/process-broadcast-notifications,030b29f5-24fd-4fe6-b157-d0abeca50c91,173,0751d2fd-7a7a-480b-9d27-f44a212a5be5,63d16fdb-6ebb-48b3-ada3-8c2d38e2c4a0,POST,/functions/v1/process-broadcast-notifications,401,1776013680539000,2
dqrooqgnsvbgarsudhew_0751d2fd-7a7a-480b-9d27-f44a212a5be5_2,POST | 401 | https://dqrooqgnsvbgarsudhew.supabase.co/functions/v1/process-broadcast-notifications,03f398a1-75cb-4ef5-8996-cdf72ef9e74c,163,0751d2fd-7a7a-480b-9d27-f44a212a5be5,3a2d127e-f82e-43a7-b1fa-70fe0b0177f0,POST,/functions/v1/process-broadcast-notifications,401,1776013620607000,2
dqrooqgnsvbgarsudhew_0751d2fd-7a7a-480b-9d27-f44a212a5be5_2,POST | 401 | https://dqrooqgnsvbgarsudhew.supabase.co/functions/v1/process-broadcast-notifications,f7974a7d-afc2-4a43-be19-861e0db5dfdb,112,0751d2fd-7a7a-480b-9d27-f44a212a5be5,6c6e057a-8c95-4de9-9124-d09778d37962,POST,/functions/v1/process-broadcast-notifications,401,1776013560731000,2
dqrooqgnsvbgarsudhew_0751d2fd-7a7a-480b-9d27-f44a212a5be5_2,POST | 401 | https://dqrooqgnsvbgarsudhew.supabase.co/functions/v1/process-broadcast-notifications,51d1cb64-987b-4d0e-8562-07cdfe491158,102,0751d2fd-7a7a-480b-9d27-f44a212a5be5,f6af26aa-e875-4903-bb5c-8ec39d09edd0,POST,/functions/v1/process-broadcast-notifications,401,1776013510454000,2
dqrooqgnsvbgarsudhew_0751d2fd-7a7a-480b-9d27-f44a212a5be5_2,POST | 401 | https://dqrooqgnsvbgarsudhew.supabase.co/functions/v1/process-broadcast-notifications,b72870de-1cce-446b-ae62-01678bd2325a,101,0751d2fd-7a7a-480b-9d27-f44a212a5be5,ba0a5235-a1e7-4dc2-bd55-b27c8aea4b6d,POST,/functions/v1/process-broadcast-notifications,401,1776013440753000,2
dqrooqgnsvbgarsudhew_0751d2fd-7a7a-480b-9d27-f44a212a5be5_2,POST | 401 | https://dqrooqgnsvbgarsudhew.supabase.co/functions/v1/process-broadcast-notifications,5dd176f6-eb6a-420f-a1e5-650d32c2f157,171,0751d2fd-7a7a-480b-9d27-f44a212a5be5,acc7d1b8-a025-4cd6-bbd7-d24c28f485cc,POST,/functions/v1/process-broadcast-notifications,401,1776013380260000,2
dqrooqgnsvbgarsudhew_0751d2fd-7a7a-480b-9d27-f44a212a5be5_2,POST | 401 | https://dqrooqgnsvbgarsudhew.supabase.co/functions/v1/process-broadcast-notifications,0b3a0367-034f-4ddb-9a93-69b52f092096,324,0751d2fd-7a7a-480b-9d27-f44a212a5be5,f6eceae4-a3cd-4922-8261-25a3c17dc905,POST,/functions/v1/process-broadcast-notifications,401,1776013320416000,2
dqrooqgnsvbgarsudhew_0751d2fd-7a7a-480b-9d27-f44a212a5be5_2,POST | 401 | https://dqrooqgnsvbgarsudhew.supabase.co/functions/v1/process-broadcast-notifications,8561c47e-2eb2-49e1-bae6-3c079147d59b,221,0751d2fd-7a7a-480b-9d27-f44a212a5be5,56542be6-f62a-4397-a424-ae22ce9b3f29,POST,/functions/v1/process-broadcast-notifications,401,1776013260414000,2
dqrooqgnsvbgarsudhew_0751d2fd-7a7a-480b-9d27-f44a212a5be5_2,POST | 401 | https://dqrooqgnsvbgarsudhew.supabase.co/functions/v1/process-broadcast-notifications,a402137b-4e3d-4038-8cea-cb2ae67d839c,286,0751d2fd-7a7a-480b-9d27-f44a212a5be5,e3fac6e5-2dc3-4e99-9e1a-291567c53cee,POST,/functions/v1/process-broadcast-notifications,401,1776013200569000,2
dqrooqgnsvbgarsudhew_0751d2fd-7a7a-480b-9d27-f44a212a5be5_2,POST | 401 | https://dqrooqgnsvbgarsudhew.supabase.co/functions/v1/process-broadcast-notifications,b1c58e36-0bcc-4449-b630-c89cab4dc8c8,176,0751d2fd-7a7a-480b-9d27-f44a212a5be5,acbb2cdb-76ac-4d4f-8a6e-4876e89cd1c5,POST,/functions/v1/process-broadcast-notifications,401,1776013140266000,2
dqrooqgnsvbgarsudhew_0751d2fd-7a7a-480b-9d27-f44a212a5be5_2,POST | 401 | https://dqrooqgnsvbgarsudhew.supabase.co/functions/v1/process-broadcast-notifications,5f6d6157-4904-49cf-acaf-3e0440821183,266,0751d2fd-7a7a-480b-9d27-f44a212a5be5,6ac193a8-8309-4f99-a214-1226175a42a1,POST,/functions/v1/process-broadcast-notifications,401,1776013080658000,2
dqrooqgnsvbgarsudhew_0751d2fd-7a7a-480b-9d27-f44a212a5be5_2,POST | 401 | https://dqrooqgnsvbgarsudhew.supabase.co/functions/v1/process-broadcast-notifications,0de9ccf7-7437-4e45-ba54-a8f2d1fde8ce,237,0751d2fd-7a7a-480b-9d27-f44a212a5be5,99e79b54-ad83-499b-b7ff-addf4e4b9eea,POST,/functions/v1/process-broadcast-notifications,401,1776013020589000,2
dqrooqgnsvbgarsudhew_0751d2fd-7a7a-480b-9d27-f44a212a5be5_2,POST | 401 | https://dqrooqgnsvbgarsudhew.supabase.co/functions/v1/process-broadcast-notifications,a3d5092d-1727-452a-9115-2e6235d352fb,123,0751d2fd-7a7a-480b-9d27-f44a212a5be5,8fdaf917-61fa-44c7-818d-e47fd28daf7c,POST,/functions/v1/process-broadcast-notifications,401,1776012960579000,2
dqrooqgnsvbgarsudhew_0751d2fd-7a7a-480b-9d27-f44a212a5be5_2,POST | 401 | https://dqrooqgnsvbgarsudhew.supabase.co/functions/v1/process-broadcast-notifications,13af7784-6d72-4fc0-833f-e2db3a3bf4d4,224,0751d2fd-7a7a-480b-9d27-f44a212a5be5,9ef12f15-5942-47bb-9449-4ffb047781c2,POST,/functions/v1/process-broadcast-notifications,401,1776012900676000,2
dqrooqgnsvbgarsudhew_0751d2fd-7a7a-480b-9d27-f44a212a5be5_2,POST | 401 | https://dqrooqgnsvbgarsudhew.supabase.co/functions/v1/process-broadcast-notifications,53fcbce5-a9cd-4b58-803a-bab34b3576ed,114,0751d2fd-7a7a-480b-9d27-f44a212a5be5,81954b28-1e0a-4307-99e4-aa9de86f9779,POST,/functions/v1/process-broadcast-notifications,401,1776012840775000,2
