kind,routePath,concretePath,url,outcome,ok,status,statusText,redirectedTo,contentType,error,bodySample,checkedAt,sourceFile,localhostUrl,orgSubdomainUrl,adminHostUrl
page,/admin/leave,/admin/leave,http://localhost:3000/admin/leave,redirect,false,307,Temporary Redirect,/login?next=%2Fadmin%2Fleave,,,/login?next=%2Fadmin%2Fleave,2026-05-01T09:51:46.691Z,apps/web/src/app/(main)/admin/leave/page.tsx,http://localhost:3000/admin/leave,http://demo.localhost:3000/admin/leave,http://admin.localhost:3000/admin/leave
page,/admin/notifications,/admin/notifications,http://localhost:3000/admin/notifications,redirect,false,307,Temporary Redirect,/login?next=%2Fadmin%2Fnotifications,,,/login?next=%2Fadmin%2Fnotifications,2026-05-01T09:51:46.695Z,apps/web/src/app/(main)/admin/notifications/page.tsx,http://localhost:3000/admin/notifications,http://demo.localhost:3000/admin/notifications,http://admin.localhost:3000/admin/notifications
page,/admin/offer-templates,/admin/offer-templates,http://localhost:3000/admin/offer-templates,redirect,false,307,Temporary Redirect,/login?next=%2Fadmin%2Foffer-templates,,,/login?next=%2Fadmin%2Foffer-templates,2026-05-01T09:51:46.718Z,apps/web/src/app/(main)/admin/offer-templates/page.tsx,http://localhost:3000/admin/offer-templates,http://demo.localhost:3000/admin/offer-templates,http://admin.localhost:3000/admin/offer-templates
page,/admin/offer-templates/[id]/edit,/admin/offer-templates/example/edit,http://localhost:3000/admin/offer-templates/example/edit,redirect,false,307,Temporary Redirect,/login?next=%2Fadmin%2Foffer-templates%2Fexample%2Fedit,,,/login?next=%2Fadmin%2Foffer-templates%2Fexample%2Fedit,2026-05-01T09:51:46.722Z,apps/web/src/app/(main)/admin/offer-templates/[id]/edit/page.tsx,http://localhost:3000/admin/offer-templates/example/edit,http://demo.localhost:3000/admin/offer-templates/example/edit,http://admin.localhost:3000/admin/offer-templates/example/edit
page,/admin/offer-templates/new,/admin/offer-templates/new,http://localhost:3000/admin/offer-templates/new,redirect,false,307,Temporary Redirect,/login?next=%2Fadmin%2Foffer-templates%2Fnew,,,/login?next=%2Fadmin%2Foffer-templates%2Fnew,2026-05-01T09:51:46.725Z,apps/web/src/app/(main)/admin/offer-templates/new/page.tsx,http://localhost:3000/admin/offer-templates/new,http://demo.localhost:3000/admin/offer-templates/new,http://admin.localhost:3000/admin/offer-templates/new
page,/admin/pending,/admin/pending,http://localhost:3000/admin/pending,redirect,false,307,Temporary Redirect,/login?next=%2Fadmin%2Fpending,,,/login?next=%2Fadmin%2Fpending,2026-05-01T09:51:46.729Z,apps/web/src/app/(main)/admin/pending/page.tsx,http://localhost:3000/admin/pending,http://demo.localhost:3000/admin/pending,http://admin.localhost:3000/admin/pending
page,/admin/privacy,/admin/privacy,http://localhost:3000/admin/privacy,redirect,false,307,Temporary Redirect,/login?next=%2Fadmin%2Fprivacy,,,/login?next=%2Fadmin%2Fprivacy,2026-05-01T09:51:46.733Z,apps/web/src/app/(main)/admin/privacy/page.tsx,http://localhost:3000/admin/privacy,http://demo.localhost:3000/admin/privacy,http://admin.localhost:3000/admin/privacy
page,/admin/recruitment,/admin/recruitment,http://localhost:3000/admin/recruitment,redirect,false,308,Permanent Redirect,/hr/hiring/requests,,,/hr/hiring/requests,2026-05-01T09:51:46.736Z,apps/web/src/app/(main)/admin/recruitment/page.tsx,http://localhost:3000/admin/recruitment,http://demo.localhost:3000/admin/recruitment,http://admin.localhost:3000/admin/recruitment
page,/admin/recruitment/[id],/admin/recruitment/example,http://localhost:3000/admin/recruitment/example,redirect,false,308,Permanent Redirect,/hr/hiring/requests/example,,,/hr/hiring/requests/example,2026-05-01T09:51:46.736Z,apps/web/src/app/(main)/admin/recruitment/[id]/page.tsx,http://localhost:3000/admin/recruitment/example,http://demo.localhost:3000/admin/recruitment/example,http://admin.localhost:3000/admin/recruitment/example
page,/admin/roles,/admin/roles,http://localhost:3000/admin/roles,redirect,false,307,Temporary Redirect,/login?next=%2Fadmin%2Froles,,,/login?next=%2Fadmin%2Froles,2026-05-01T09:51:46.737Z,apps/web/src/app/(main)/admin/roles/page.tsx,http://localhost:3000/admin/roles,http://demo.localhost:3000/admin/roles,http://admin.localhost:3000/admin/roles
