kind,routePath,concretePath,isDynamic,preferredUrl,localhostUrl,orgSubdomainUrl,adminHostUrl,sourceFile,notes
page,/,/,false,http://localhost:3000/,http://localhost:3000/,http://demo.localhost:3000/,http://admin.localhost:3000/,apps/web/src/app/page.tsx,
page,/admin,/admin,false,http://localhost:3000/admin,http://localhost:3000/admin,http://demo.localhost:3000/admin,http://admin.localhost:3000/admin,apps/web/src/app/(main)/admin/page.tsx,
page,/admin/applications,/admin/applications,false,http://localhost:3000/admin/applications,http://localhost:3000/admin/applications,http://demo.localhost:3000/admin/applications,http://admin.localhost:3000/admin/applications,apps/web/src/app/(main)/admin/applications/page.tsx,
page,/admin/broadcasts,/admin/broadcasts,false,http://localhost:3000/admin/broadcasts,http://localhost:3000/admin/broadcasts,http://demo.localhost:3000/admin/broadcasts,http://admin.localhost:3000/admin/broadcasts,apps/web/src/app/(main)/admin/broadcasts/page.tsx,
page,/admin/categories,/admin/categories,false,http://localhost:3000/admin/categories,http://localhost:3000/admin/categories,http://demo.localhost:3000/admin/categories,http://admin.localhost:3000/admin/categories,apps/web/src/app/(main)/admin/categories/page.tsx,
page,/admin/departments,/admin/departments,false,http://localhost:3000/admin/departments,http://localhost:3000/admin/departments,http://demo.localhost:3000/admin/departments,http://admin.localhost:3000/admin/departments,apps/web/src/app/(main)/admin/departments/page.tsx,
page,/admin/discount,/admin/discount,false,http://localhost:3000/admin/discount,http://localhost:3000/admin/discount,http://demo.localhost:3000/admin/discount,http://admin.localhost:3000/admin/discount,apps/web/src/app/(main)/admin/discount/page.tsx,
page,/admin/hr,/admin/hr,false,http://localhost:3000/admin/hr,http://localhost:3000/admin/hr,http://demo.localhost:3000/admin/hr,http://admin.localhost:3000/admin/hr,apps/web/src/app/(main)/admin/hr/page.tsx,
page,/admin/hr/absence-reporting,/admin/hr/absence-reporting,false,http://localhost:3000/admin/hr/absence-reporting,http://localhost:3000/admin/hr/absence-reporting,http://demo.localhost:3000/admin/hr/absence-reporting,http://admin.localhost:3000/admin/hr/absence-reporting,apps/web/src/app/(main)/admin/hr/absence-reporting/page.tsx,
page,/admin/hr/custom-fields,/admin/hr/custom-fields,false,http://localhost:3000/admin/hr/custom-fields,http://localhost:3000/admin/hr/custom-fields,http://demo.localhost:3000/admin/hr/custom-fields,http://admin.localhost:3000/admin/hr/custom-fields,apps/web/src/app/(main)/admin/hr/custom-fields/page.tsx,
page,/admin/hr/[userId],/admin/hr/example,true,http://localhost:3000/admin/hr/example,http://localhost:3000/admin/hr/example,http://demo.localhost:3000/admin/hr/example,http://admin.localhost:3000/admin/hr/example,apps/web/src/app/(main)/admin/hr/[userId]/page.tsx,"Dynamic route converted with placeholder ""example"""
page,/admin/hr/hr-metric-alerts,/admin/hr/hr-metric-alerts,false,http://localhost:3000/admin/hr/hr-metric-alerts,http://localhost:3000/admin/hr/hr-metric-alerts,http://demo.localhost:3000/admin/hr/hr-metric-alerts,http://admin.localhost:3000/admin/hr/hr-metric-alerts,apps/web/src/app/(main)/admin/hr/hr-metric-alerts/page.tsx,
page,/admin/hr/onboarding,/admin/hr/onboarding,false,http://localhost:3000/admin/hr/onboarding,http://localhost:3000/admin/hr/onboarding,http://demo.localhost:3000/admin/hr/onboarding,http://admin.localhost:3000/admin/hr/onboarding,apps/web/src/app/(main)/admin/hr/onboarding/page.tsx,
